Sr.,Stock Name,Symbol,close,%_change,volume,Add Column
"250","Techno Electric & Engineering Company Ltd","TECHNOE","1,060.65","1.07%","2,01,569",""
"251","CG Power and Industrial Solutions Ltd","CGPOWER","687.3","1.07%","23,78,124",""
"252","Brainbees Solutions Ltd","FIRSTCRY","226.7","1.06%","18,71,308",""
"253","Apar Industries Limited","APARINDS","9,935","1.05%","62,394",""
"254","Choice International Ltd","CHOICEIN","640.85","1.02%","6,53,317",""
"255","Patanjali Foods Ltd","PATANJALI","471.7","1.02%","18,78,287",""
"256","Jk Tyre & Industries Limited","JKTYRE","392.9","1.02%","8,26,178",""
"257","Tata Steel Limited","TATASTEEL","196.1","1.01%","2,81,15,748",""
"258","Jindal Stainless Limited","JSL","725","1%","8,85,053",""
"259","Gail (india) Limited","GAIL","143.14","0.99%","1,14,66,136",""
"260","Mankind Pharma Ltd","MANKIND","2,017.7","0.96%","5,32,381",""
"261","Indusind Bank Limited","INDUSINDBK","786.2","0.96%","25,12,596",""
"262","Indian Railway Finance Corporation Ltd","IRFC","92.72","0.96%","1,73,11,052",""
"263","Tata Consultancy Services Limited","TCS","2,473.9","0.95%","25,72,417",""
"264","Eid Parry India Limited","EIDPARRY","815","0.95%","3,23,871",""
"265","Hindustan Unilever Limited","HINDUNILVR","2,084.8","0.94%","16,61,298",""
"266","Premier Energies Ltd","PREMIERENE","925.95","0.94%","11,73,910",""
"267","Housing and Urban Development Corporation Ltd","HUDCO","169.52","0.92%","28,12,074",""
"268","Ifci Limited","IFCI","52.92","0.92%","1,69,84,105",""
"269","Aditya Infotech Ltd","CPPLUS","1,815.9","0.91%","2,10,990",""
"270","Power Finance Corporation Limited","PFC","405.9","0.91%","71,62,794",""
"271","Zen Technologies Limited","ZENTEC","1,379.3","0.89%","2,74,390",""
"272","Dixon Technologies Ltd","DIXON","10,008","0.88%","7,52,942",""
"273","Godfrey Phillips India Limited","GODFRYPHLP","1,926.5","0.87%","5,61,160",""
"274","Kansai Nerolac Paints Limited","KANSAINER","180.16","0.87%","2,62,956",""
"275","Jaiprakash Power Ventures Limited","JPPOWER","15.14","0.87%","9,28,62,917",""
"276","Oberoi Realty Limited","OBEROIRLTY","1,519.9","0.86%","2,88,582",""
"277","Allied Blenders & Distillers Ltd","ABDL","427.5","0.86%","3,56,175",""
"278","REC Ltd","RECLTD","327.55","0.85%","65,05,082",""
"279","Engineers India Limited","ENGINERSIN","202.26","0.85%","52,22,516",""
"280","NTPC Green Energy Ltd","NTPCGREEN","98.05","0.85%","46,66,160",""
"281","Abb India Limited","ABB","6,193.5","0.84%","2,59,645",""
"282","Anant Raj Limited","ANANTRAJ","455.55","0.84%","20,40,997",""
"283","Supreme Industries Limited","SUPREMEIND","3,672.2","0.83%","2,24,359",""
"284","Apl Apollo Tubes Limited","APLAPOLLO","1,915","0.83%","3,64,128",""
"285","Niva Bupa Health Insurance Company Ltd","NIVABUPA","73.19","0.83%","4,33,729",""
"286","Tata Motors Commercial Vehicles Ltd","TMCV","391.3","0.82%","99,99,061",""
"287","Indian Overseas Bank Ltd","IOB","33.05","0.79%","49,32,519",""
"288","Kec International Limited","KEC","533.65","0.78%","4,60,503",""
"289","Ircon International Ltd","IRCON","125.94","0.78%","39,81,805",""
"290","Apollo Hospitals Enterprise Limited","APOLLOHOSP","7,373","0.76%","3,60,086",""
"291","Usha Martin Limited","USHAMART","408.65","0.76%","2,75,544",""
"292","Deepak Nitrite Limited","DEEPAKNTR","1,388","0.75%","95,527",""
"293","Himadri Speciality Chemical Limited","HSCL","451.5","0.75%","31,97,443",""
"294","Coromandel International Limited","COROMANDEL","1,892.2","0.74%","3,34,620",""
"295","Tata Elxsi Limited","TATAELXSI","4,272.3","0.73%","2,04,565",""
"296","Srf Limited","SRF","2,433.8","0.73%","11,06,561",""
"297","Idbi Bank Limited","IDBI","70.06","0.73%","2,16,45,375",""
"298","Bharti Hexacom Ltd","BHARTIHEXA","1,517.6","0.72%","82,585",""
"299","Godrej Consumer Products Limited","GODREJCP","1,001.95","0.72%","13,58,923",""
"300","Siemens Limited","SIEMENS","3,048","0.71%","3,72,908",""
